Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,purpose_of_ww_sampling,purpose_of_ww_sequencing
SRR23064268,RNA-Seq,118,3917740184,PRJNA772783,SAMN32287918,SARS-CoV-2: wastewater surveillance,1276234702,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX19017532,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF23,TMWRF23,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:08:00Z,1,ScWW23Apr,SRP342181,318000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064269,RNA-Seq,118,5240190138,PRJNA772783,SAMN32287917,SARS-CoV-2: wastewater surveillance,1692553392,"UNIVERSITY OF NEVADA, RENO",2022-04,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX19017531,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF22,TMWRF22,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:15:00Z,1,ScWW22Apr,SRP342181,318000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064270,RNA-Seq,118,3977904608,PRJNA772783,SAMN32287916,SARS-CoV-2: wastewater surveillance,1301668350,"UNIVERSITY OF NEVADA, RENO",2022-03,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX19017530,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF21,TMWRF21,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:18:00Z,1,ScWW21Mar,SRP342181,318000,9,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064271,RNA-Seq,120,7608992949,PRJNA772783,SAMN32287898,SARS-CoV-2: wastewater surveillance,2495856952,"UNIVERSITY OF NEVADA, RENO",2021-11,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX19017529,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF3,TMWRF3,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:24:00Z,1,ScWW3Nov,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064272,RNA-Seq,118,4123046732,PRJNA772783,SAMN32287915,SARS-CoV-2: wastewater surveillance,1347523519,"UNIVERSITY OF NEVADA, RENO",2022-03,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017528,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF20,TMWRF20,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:09:00Z,1,ScWW20Mar,SRP342181,318000,12,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064273,RNA-Seq,116,5037540700,PRJNA772783,SAMN32287914,SARS-CoV-2: wastewater surveillance,1537810280,"UNIVERSITY OF NEVADA, RENO",2022-03,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX19017527,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF19,TMWRF19,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:09:00Z,1,ScWW19Mar,SRP342181,318000,9,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064274,RNA-Seq,116,4871553980,PRJNA772783,SAMN32287913,SARS-CoV-2: wastewater surveillance,1496056005,"UNIVERSITY OF NEVADA, RENO",2022-03,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19017526,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF18,TMWRF18,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:12:00Z,1,ScWW18Mar,SRP342181,318000,9,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064275,RNA-Seq,116,5646420060,PRJNA772783,SAMN32287912,SARS-CoV-2: wastewater surveillance,1734341534,"UNIVERSITY OF NEVADA, RENO",2022-02,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19017525,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF17,TMWRF17,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:18:00Z,1,ScWW17Feb,SRP342181,318000,18,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064276,RNA-Seq,69,1441747754,PRJNA772783,SAMN32287911,SARS-CoV-2: wastewater surveillance,475357011,"UNIVERSITY OF NEVADA, RENO",2022-02,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX19017524,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF16,TMWRF16,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:58:00Z,1,ScWW16Feb,SRP342181,318000,24,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064277,RNA-Seq,116,5929995052,PRJNA772783,SAMN32287910,SARS-CoV-2: wastewater surveillance,1826068515,"UNIVERSITY OF NEVADA, RENO",2022-02,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX19017523,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF15,TMWRF15,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:18:00Z,1,ScWW15Feb,SRP342181,318000,24,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064278,RNA-Seq,69,4351242486,PRJNA772783,SAMN32287909,SARS-CoV-2: wastewater surveillance,1443506410,"UNIVERSITY OF NEVADA, RENO",2022-02,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX19017522,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF14,TMWRF14,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:14:00Z,1,ScWW14Feb,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064279,RNA-Seq,302,1613885886,PRJNA772783,SAMN32288023,SARS-CoV-2: wastewater surveillance,534912671,"UNIVERSITY OF NEVADA, RENO",2022-10,public,"activ_sars2_vcf,fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19017521,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Elementary School5,Elementary School5,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,Es5Oct,SRP342181,1500,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064280,RNA-Seq,116,3083314336,PRJNA772783,SAMN32288022,SARS-CoV-2: wastewater surveillance,938984808,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX19017520,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Elementary School4,Elementary School4,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:05:00Z,1,Es4Jun,SRP342181,1500,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064281,RNA-Seq,116,3448081440,PRJNA772783,SAMN32287995,SARS-CoV-2: wastewater surveillance,1060394827,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX19017519,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood4,SubNeighborhood4,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:05:00Z,1,Sn4May,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064282,RNA-Seq,116,4369125384,PRJNA772783,SAMN32287994,SARS-CoV-2: wastewater surveillance,1336292801,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX19017518,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood3,SubNeighborhood3,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:20:00Z,1,Sn3May,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064283,RNA-Seq,302,4417440674,PRJNA772783,SAMN32287993,SARS-CoV-2: wastewater surveillance,1507751407,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX19017517,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood2,SubNeighborhood2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,Sn2May,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064284,RNA-Seq,69,4829556989,PRJNA772783,SAMN32287992,SARS-CoV-2: wastewater surveillance,1612794553,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX19017516,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood1,SubNeighborhood1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:34:00Z,1,Sn1May,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064285,RNA-Seq,302,1001663936,PRJNA772783,SAMN32287991,SARS-CoV-2: wastewater surveillance,324201936,"UNIVERSITY OF NEVADA, RENO",2022-11,public,"fastq,run.zq,activ_sars2_vcf,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX19017515,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Travel Influenced12,Travel Influenced12,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:54:00Z,1,Ti12Nov,SRP342181,150000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064286,RNA-Seq,302,2449666960,PRJNA772783,SAMN32287990,SARS-CoV-2: wastewater surveillance,794677075,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"sra,fastq,run.zq,activ_sars2_vcf","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX19017514,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Travel Influenced11,Travel Influenced11,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,Ti11Sep,SRP342181,150000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064287,RNA-Seq,116,3662248760,PRJNA772783,SAMN32287989,SARS-CoV-2: wastewater surveillance,1115909635,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX19017513,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Travel Influenced10,Travel Influenced10,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:04:00Z,1,Ti10Sep,SRP342181,150000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064288,RNA-Seq,116,2464494472,PRJNA772783,SAMN32287988,SARS-CoV-2: wastewater surveillance,747853099,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX19017512,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Travel Influenced9,Travel Influenced9,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:00:00Z,1,Ti9Sep,SRP342181,150000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064289,RNA-Seq,116,4311644020,PRJNA772783,SAMN32287987,SARS-CoV-2: wastewater surveillance,1305480897,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX19017511,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Travel Influenced8,Travel Influenced8,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:08:00Z,1,Ti8Aug,SRP342181,150000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064290,RNA-Seq,302,1494348850,PRJNA772783,SAMN32287986,SARS-CoV-2: wastewater surveillance,509409750,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"sra,activ_sars2_vcf,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX19017510,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Travel Influenced7,Travel Influenced7,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:55:00Z,1,Ti7Aug,SRP342181,150000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064291,RNA-Seq,116,3779945260,PRJNA772783,SAMN32287905,SARS-CoV-2: wastewater surveillance,1149852217,"UNIVERSITY OF NEVADA, RENO",2022-01,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX19017509,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF10,TMWRF10,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:06:00Z,1,ScWW10Jan,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064292,RNA-Seq,116,4096893916,PRJNA772783,SAMN32287985,SARS-CoV-2: wastewater surveillance,1251133503,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX19017508,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Travel Influenced6,Travel Influenced6,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:08:00Z,1,Ti6Aug,SRP342181,150000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064293,RNA-Seq,116,2097148224,PRJNA772783,SAMN32288021,SARS-CoV-2: wastewater surveillance,651409840,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017507,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Elementary School3,Elementary School3,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:02:00Z,1,Es3May,SRP342181,1500,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064294,RNA-Seq,302,1974179134,PRJNA772783,SAMN32288020,SARS-CoV-2: wastewater surveillance,665250703,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"sra,run.zq,activ_sars2_vcf,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX19017506,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Elementary School2,Elementary School2,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,Es2May,SRP342181,1500,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064295,RNA-Seq,302,5096707228,PRJNA772783,SAMN32288019,SARS-CoV-2: wastewater surveillance,1739826190,"UNIVERSITY OF NEVADA, RENO",2022-05,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017505,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,Elementary School1,Elementary School1,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:06:00Z,1,Es1May,SRP342181,1500,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064296,RNA-Seq,302,1038197480,PRJNA772783,SAMN32288018,SARS-CoV-2: wastewater surveillance,343213123,"UNIVERSITY OF NEVADA, RENO",2022-11,public,"sra,fastq,activ_sars2_vcf,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19017504,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood27,SubNeighborhood27,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:54:00Z,1,Sn27Nov,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064297,RNA-Seq,302,1054700270,PRJNA772783,SAMN32288017,SARS-CoV-2: wastewater surveillance,353919810,"UNIVERSITY OF NEVADA, RENO",2022-11,public,"run.zq,activ_sars2_vcf,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017503,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood26,SubNeighborhood26,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:54:00Z,1,Sn26Nov,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064298,RNA-Seq,302,1881250714,PRJNA772783,SAMN32288016,SARS-CoV-2: wastewater surveillance,627892867,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"fastq,run.zq,sra,activ_sars2_vcf","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX19017502,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood25,SubNeighborhood25,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,Sn25Sep,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064299,RNA-Seq,68,5307301576,PRJNA772783,SAMN32287908,SARS-CoV-2: wastewater surveillance,1774933988,"UNIVERSITY OF NEVADA, RENO",2022-01,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX19017501,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF13,TMWRF13,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:21:00Z,1,ScWW13Jan,SRP342181,318000,21,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064300,RNA-Seq,302,1905299880,PRJNA772783,SAMN32288015,SARS-CoV-2: wastewater surveillance,622713494,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"run.zq,activ_sars2_vcf,fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX19017500,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood24,SubNeighborhood24,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:56:00Z,1,Sn24Sep,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064301,RNA-Seq,302,2148503802,PRJNA772783,SAMN32288013,SARS-CoV-2: wastewater surveillance,721121862,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"sra,run.zq,activ_sars2_vcf,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX19017499,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood22,SubNeighborhood22,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T12:57:00Z,1,Sn22Sep,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064302,RNA-Seq,116,3496527564,PRJNA772783,SAMN32288012,SARS-CoV-2: wastewater surveillance,1073625772,"UNIVERSITY OF NEVADA, RENO",2022-09,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX19017498,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood21,SubNeighborhood21,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:06:00Z,1,Sn21Sep,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064303,RNA-Seq,120,5925007080,PRJNA772783,SAMN32288011,SARS-CoV-2: wastewater surveillance,1811437012,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX19017497,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood20,SubNeighborhood20,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:11:00Z,1,Sn20Aug,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064304,RNA-Seq,120,5065729200,PRJNA772783,SAMN32288010,SARS-CoV-2: wastewater surveillance,1558935037,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX19017496,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood19,SubNeighborhood19,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:11:00Z,1,Sn19Aug,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064305,RNA-Seq,120,5815270680,PRJNA772783,SAMN32288009,SARS-CoV-2: wastewater surveillance,1788052577,"UNIVERSITY OF NEVADA, RENO",2022-08,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX19017495,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood18,SubNeighborhood18,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:13:00Z,1,Sn18Aug,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064306,RNA-Seq,120,6105217800,PRJNA772783,SAMN32288008,SARS-CoV-2: wastewater surveillance,1869137873,"UNIVERSITY OF NEVADA, RENO",2022-07,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX19017494,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood17,SubNeighborhood17,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:13:00Z,1,Sn17Jul,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064307,RNA-Seq,116,4966279348,PRJNA772783,SAMN32288007,SARS-CoV-2: wastewater surveillance,1500571430,"UNIVERSITY OF NEVADA, RENO",2022-07,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX19017493,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood16,SubNeighborhood16,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:18:00Z,1,Sn16Jul,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064308,RNA-Seq,116,4439850468,PRJNA772783,SAMN32288006,SARS-CoV-2: wastewater surveillance,1338188450,"UNIVERSITY OF NEVADA, RENO",2022-07,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX19017492,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood15,SubNeighborhood15,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:10:00Z,1,Sn15Jul,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064309,RNA-Seq,69,4558382837,PRJNA772783,SAMN32287907,SARS-CoV-2: wastewater surveillance,1511784178,"UNIVERSITY OF NEVADA, RENO",2022-01,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX19017491,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,TMWRF12,TMWRF12,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:11:00Z,1,ScWW12Jan,SRP342181,318000,18,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064310,RNA-Seq,120,3619272000,PRJNA772783,SAMN32288005,SARS-CoV-2: wastewater surveillance,1097318625,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX19017490,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood14,SubNeighborhood14,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:02:00Z,1,Sn14Jun,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
SRR23064311,RNA-Seq,120,4020581040,PRJNA772783,SAMN32288004,SARS-CoV-2: wastewater surveillance,1204572617,"UNIVERSITY OF NEVADA, RENO",2022-06,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX19017489,USA,North America,"USA: Nevada\, Reno",Illumina HiSeq 2000,SubNeighborhood13,SubNeighborhood13,PAIRED,RT-PCR,METAGENOMIC,wastewater metagenome,ILLUMINA,2023-01-12T00:00:00Z,2023-01-12T13:10:00Z,1,Sn13Jun,SRP342181,6000,3,secondary effluent,grab,yes,SARS-CoV-2,,
