Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1_known_present,ww_surv_target_1,collected_by,purpose_of_ww_sampling
SRR31838533,AMPLICON,71,83018577,PRJNA896334,SAMN45996599,SARS-CoV-2: wastewater surveillance,36235733,CSIR-NCL,2023-05-08,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198876,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18973,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-181,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838534,AMPLICON,71,84366030,PRJNA896334,SAMN45996598,SARS-CoV-2: wastewater surveillance,35491947,CSIR-NCL,2023-05-05,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198875,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18311,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-180,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838535,AMPLICON,71,43634449,PRJNA896334,SAMN45996597,SARS-CoV-2: wastewater surveillance,18445324,CSIR-NCL,2023-05-02,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198874,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18300,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-179,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838536,AMPLICON,71,102173484,PRJNA896334,SAMN45996596,SARS-CoV-2: wastewater surveillance,42059487,CSIR-NCL,2023-04-27,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198873,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18577,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-178,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838537,AMPLICON,71,101639960,PRJNA896334,SAMN45996595,SARS-CoV-2: wastewater surveillance,41898355,CSIR-NCL,2023-04-20,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198872,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18555,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:02:00Z,1,PR-176,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838538,AMPLICON,71,74749456,PRJNA896334,SAMN45996594,SARS-CoV-2: wastewater surveillance,31666116,CSIR-NCL,2023-04-13,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198871,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18533,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-174,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838539,AMPLICON,70,94154208,PRJNA896334,SAMN45996558,SARS-CoV-2: wastewater surveillance,39360324,CSIR-NCL,2022-06-23,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198870,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP14526,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-92,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838540,AMPLICON,71,92877117,PRJNA896334,SAMN45996593,SARS-CoV-2: wastewater surveillance,39191447,CSIR-NCL,2023-04-06,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198869,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18513,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-172,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838541,AMPLICON,71,86572139,PRJNA896334,SAMN45996592,SARS-CoV-2: wastewater surveillance,36699200,CSIR-NCL,2023-04-03,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198868,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18503,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-171,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838542,AMPLICON,71,108017556,PRJNA896334,SAMN45996591,SARS-CoV-2: wastewater surveillance,44449060,CSIR-NCL,2023-03-30,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198867,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18493,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:02:00Z,1,PR-170,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838543,AMPLICON,71,142283255,PRJNA896334,SAMN45996590,SARS-CoV-2: wastewater surveillance,61747099,CSIR-NCL,2023-03-27,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198866,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18854,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-169,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838544,AMPLICON,71,82209134,PRJNA896334,SAMN45996589,SARS-CoV-2: wastewater surveillance,35725866,CSIR-NCL,2023-03-23,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198865,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18845,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-168,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838545,AMPLICON,71,146097575,PRJNA896334,SAMN45996588,SARS-CoV-2: wastewater surveillance,63344359,CSIR-NCL,2023-03-16,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198864,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18839,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-166,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838546,AMPLICON,71,218634927,PRJNA896334,SAMN45996587,SARS-CoV-2: wastewater surveillance,108924820,CSIR-NCL,2023-03-13,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198863,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP16954,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-165,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838547,AMPLICON,70,82406768,PRJNA896334,SAMN45996586,SARS-CoV-2: wastewater surveillance,36404435,CSIR-NCL,2023-03-10,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198862,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18829,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-164,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838548,AMPLICON,71,267351543,PRJNA896334,SAMN45996585,SARS-CoV-2: wastewater surveillance,132953042,CSIR-NCL,2023-03-06,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198861,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP16932,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:02:00Z,1,PR-163,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838549,AMPLICON,71,151613524,PRJNA896334,SAMN45996584,SARS-CoV-2: wastewater surveillance,66481687,CSIR-NCL,2023-03-02,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198860,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18808,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:02:00Z,1,PR-162,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838550,AMPLICON,71,83592089,PRJNA896334,SAMN45996557,SARS-CoV-2: wastewater surveillance,34897877,CSIR-NCL,2022-06-20,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198859,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP14748,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:00:00Z,1,PR-91,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838551,AMPLICON,71,307011484,PRJNA896334,SAMN45996583,SARS-CoV-2: wastewater surveillance,152911034,CSIR-NCL,2023-02-27,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198858,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP16910,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:01:00Z,1,PR-161,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838552,AMPLICON,71,128370834,PRJNA896334,SAMN45996582,SARS-CoV-2: wastewater surveillance,56447681,CSIR-NCL,2023-02-23,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198857,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18791,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-160,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838553,AMPLICON,71,121179134,PRJNA896334,SAMN45996581,SARS-CoV-2: wastewater surveillance,53532159,CSIR-NCL,2023-02-20,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198856,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18780,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:05:00Z,1,PR-159,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838554,AMPLICON,71,116546905,PRJNA896334,SAMN45996580,SARS-CoV-2: wastewater surveillance,50744999,CSIR-NCL,2023-02-06,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198855,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18777,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-155,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838555,AMPLICON,71,217676465,PRJNA896334,SAMN45996579,SARS-CoV-2: wastewater surveillance,107208930,CSIR-NCL,2023-02-02,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198854,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP16899,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-154,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838556,AMPLICON,398,104218630,PRJNA896334,SAMN45996578,SARS-CoV-2: wastewater surveillance,103354042,CSIR-NCL,2022-12-12,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198853,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN145_barcode21,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-139,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838557,AMPLICON,71,123767387,PRJNA896334,SAMN45996577,SARS-CoV-2: wastewater surveillance,53684294,CSIR-NCL,2022-11-10,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198852,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18630,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-130,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838558,AMPLICON,71,173420926,PRJNA896334,SAMN45996576,SARS-CoV-2: wastewater surveillance,71561527,CSIR-NCL,2022-11-07,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198851,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP17390,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-129,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838559,AMPLICON,71,32538678,PRJNA896334,SAMN45996575,SARS-CoV-2: wastewater surveillance,11843416,CSIR-NCL,2022-10-20,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198850,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP15775,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-126,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838560,AMPLICON,71,98812146,PRJNA896334,SAMN45996574,SARS-CoV-2: wastewater surveillance,43096322,CSIR-NCL,2022-10-17,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198849,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP18591,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-125,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838561,AMPLICON,71,86925182,PRJNA896334,SAMN45996556,SARS-CoV-2: wastewater surveillance,36367042,CSIR-NCL,2022-06-16,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198848,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP14566,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-90,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838562,AMPLICON,71,40596925,PRJNA896334,SAMN45996573,SARS-CoV-2: wastewater surveillance,14903906,CSIR-NCL,2022-10-03,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198847,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP15844,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-121,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838563,AMPLICON,71,47021612,PRJNA896334,SAMN45996572,SARS-CoV-2: wastewater surveillance,17197590,CSIR-NCL,2022-09-22,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198846,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP15689,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-118,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838564,AMPLICON,71,122737672,PRJNA896334,SAMN45996571,SARS-CoV-2: wastewater surveillance,50750139,CSIR-NCL,2022-09-15,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198845,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP17258,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-116,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838565,AMPLICON,71,154128939,PRJNA896334,SAMN45996570,SARS-CoV-2: wastewater surveillance,63206152,CSIR-NCL,2022-09-08,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198844,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP15089,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-114,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838566,AMPLICON,752,32283933,PRJNA896334,SAMN45996706,SARS-CoV-2: wastewater surveillance,31079189,CSIR-NCL,2024-04-25,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198843,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode94,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,MN-PR-280,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,not provided
SRR31838567,AMPLICON,662,45520175,PRJNA896334,SAMN45996705,SARS-CoV-2: wastewater surveillance,44244486,CSIR-NCL,2024-04-22,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198842,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode93,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,MN-PR-279,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,not provided
SRR31838568,AMPLICON,677,26183878,PRJNA896334,SAMN45996704,SARS-CoV-2: wastewater surveillance,25380380,CSIR-NCL,2024-04-18,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198841,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode92,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,MN-PR-278,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,not provided
SRR31838569,AMPLICON,71,114002967,PRJNA896334,SAMN45996569,SARS-CoV-2: wastewater surveillance,46286653,CSIR-NCL,2022-09-05,public,"activ_sars2_vcf,fastq,run.zq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198840,India,Asia,"India: Maharashtra\,Pune",NextSeq 500,Sewage Treatment Plant (STP),IP15104,SINGLE,PCR,VIRAL RNA,wastewater metagenome,ILLUMINA,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,PR-113,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,public health surveillance institution-level
SRR31838570,AMPLICON,572,83516197,PRJNA896334,SAMN45996703,SARS-CoV-2: wastewater surveillance,81773522,CSIR-NCL,2024-04-15,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198839,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode91,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,MN-PR-277,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,not provided
SRR31838571,AMPLICON,794,26171469,PRJNA896334,SAMN45996702,SARS-CoV-2: wastewater surveillance,25089596,CSIR-NCL,2024-04-11,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198838,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode90,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,MN-PR-276,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,not provided
SRR31838572,AMPLICON,779,77720099,PRJNA896334,SAMN45996701,SARS-CoV-2: wastewater surveillance,74409662,CSIR-NCL,2024-04-08,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198837,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode89,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,MN-PR-275,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,not provided
SRR31838573,AMPLICON,731,32692887,PRJNA896334,SAMN45996700,SARS-CoV-2: wastewater surveillance,31484211,CSIR-NCL,2024-04-01,public,"activ_sars2_vcf,fastq,sra","gs,ncbi,s3","gs.US,gs.us-east1,ncbi.public,s3.us-east-1",SRX27198836,India,Asia,"India: Maharashtra\,Pune",MinION,Sewage Treatment Plant (STP),RUN168_barcode87,SINGLE,PCR,VIRAL RNA,wastewater metagenome,OXFORD_NANOPORE,2025-01-15T00:00:00Z,2024-12-27T07:04:00Z,1,MN-PR-273,SRP405559,NA,0,raw wastewater,grab,yes,SARS-CoV-2,CSIR-National Chemical Laboratory,not provided
